id,date,stadium,season,tournament,round,home_team,away_team
1206039,2024-08-24 01:00:00+00:00,Estadio Corregidora,2024,Apertura,5,Club Queretaro,Cruz Azul
569691,2020-08-13 02:06:00+00:00,Estadio Caliente,2020,Apertura,4,Club Tijuana,Atletico San Luis
120166,2018-11-29 03:06:00+00:00,Estadio BBVA Bancomer,2018,Apertura,Quarter-finals,Monterrey,Santos Laguna
143796,2016-08-13 02:00:00+00:00,Estadio Caliente,2016,Apertura,5,Club Tijuana,Leon
120460,2018-11-10 01:00:00+00:00,Estadio Luis Pirata Fuente,2018,Apertura,16,Veracruz,Club Queretaro
1150236,2024-01-28 23:15:00+00:00,Estadio Olimpico Universitario,2023,Clausura,3,U.N.A.M. - Pumas,Pachuca
813307,2021-11-25 03:05:00+00:00,Estadio BBVA,2021,Apertura,Quarter-finals,Monterrey,Atlas
293492,2020-03-07 23:00:00+00:00,Estadio BBVA Bancomer,2019,Clausura,9,Monterrey,Atletico San Luis
120405,2018-09-16 23:00:00+00:00,Estadio Jalisco,2018,Apertura,9,Atlas,Club Tijuana
816427,2022-03-21 01:00:00+00:00,Estadio Jalisco,2021,Clausura,11,Atlas,Guadalajara Chivas
143809,2016-08-21 00:06:00+00:00,Estadio Leon,2016,Apertura,6,Leon,Club Queretaro
1206109,2024-10-20 03:10:00+00:00,Estadio BBVA,2024,Apertura,12,Monterrey,Tigres UANL
169171,2019-09-28 02:00:00+00:00,Estadio Jalisco,2019,Apertura,12,Atlas,Club Queretaro
120244,2019-03-02 03:00:00+00:00,Estadio Jose Maria Morelos y Pavon,2018,Clausura,9,Monarcas,Club America
143677,2017-02-26 23:00:00+00:00,Estadio Victor Manuel Reyna,2016,Clausura,8,Jaguares de Chiapas,Guadalajara Chivas
143429,2017-07-22 22:00:00+00:00,Estadio Azteca,2017,Apertura,1,Club America,Club Queretaro
864214,2022-09-11 00:05:00+00:00,Estadio Universitario de Nuevo Leon,2022,Apertura,14,Tigres UANL,Leon
143841,2016-09-21 00:00:00+00:00,Estadio Jose Maria Morelos y Pavon,2016,Apertura,10,Monarcas,Pachuca
816377,2022-02-20 01:00:00+00:00,Estadio Universitario de Nuevo Leon,2021,Clausura,6,Tigres UANL,Atletico San Luis
1150318,2024-03-18 01:00:00+00:00,Estadio Alfonso Lastras Ramirez,2023,Clausura,12,Atletico San Luis,Pachuca
1031336,2023-09-17 01:00:00+00:00,Estadio BBVA,2023,Apertura,8,Monterrey,Leon
569668,2020-08-01 00:30:00+00:00,Estadio Cuauhtemoc,2020,Apertura,2,Puebla,Cruz Azul
143773,2016-07-24 00:00:00+00:00,Estadio Jose Maria Morelos y Pavon,2016,Apertura,2,Monarcas,Club Queretaro
143477,2017-08-24 01:30:00+00:00,Estadio TSM Corona,2017,Apertura,6,Santos Laguna,Guadalajara Chivas
1144268,2023-11-27 02:06:00+00:00,Estadio Leon,2023,Apertura,Play-offs,Leon,Santos Laguna
169192,2019-10-20 00:00:00+00:00,Estadio Hidalgo,2019,Apertura,14,Pachuca,FC Juarez
1031275,2023-07-01 01:00:00+00:00,Estadio Azteca,2023,Apertura,1,Club America,FC Juarez
293486,2020-03-01 03:00:00+00:00,Estadio Universitario de Nuevo Leon,2019,Clausura,8,Tigres UANL,U.N.A.M. - Pumas
721823,2021-10-03 02:00:00+00:00,Estadio AKRON,2021,Apertura,12,Guadalajara Chivas,Atlas
120264,2019-03-16 23:00:00+00:00,Estadio Azteca,2018,Clausura,11,Cruz Azul,Pachuca
