id,referee,date,stadium,season,tournament,round,home_team,away_team,home_goals,away_goals,result
864164,F. Hernández,2022-08-14 22:00:00,Estadio Azteca,2022,Apertura,8,Cruz Azul,Toluca,2,3,away
864165,D. Montaño,2022-08-15 00:05:00,Estadio Universitario de Nuevo León,2022,Apertura,8,Tigres UANL,Santos Laguna,2,0,home
864166,A. Escobedo,2022-08-17 00:00:00,Estadio Jalisco,2022,Apertura,9,Atlas,FC Juarez,0,1,away
864167,L. Santander,2022-08-17 01:00:00,Estadio de Mazatlán,2022,Apertura,9,Mazatlán,Club Queretaro,1,1,draw
864168,F. Guerrero,2022-08-17 02:05:00,Estadio Cuauhtémoc,2022,Apertura,9,Puebla,Necaxa,2,2,draw
864169,D. Quintero,2022-08-18 00:00:00,Estadio Nemesio Díez,2022,Apertura,9,Toluca,Monterrey,1,1,draw
864171,C. Ramos,2022-08-18 02:05:00,Estadio Hidalgo,2022,Apertura,9,Pachuca,Club America,0,3,away
864170,D. Montaño,2022-08-18 02:05:00,Estadio Azteca,2022,Apertura,9,Cruz Azul,Club Tijuana,1,2,away
864172,V. Cáceres,2022-08-19 00:05:00,Estadio Nuevo Corona,2022,Apertura,9,Santos Laguna,Leon,2,1,home
864173,Ó. Macías,2022-08-19 02:05:00,Estadio Alfonso Lastras Ramírez,2022,Apertura,9,Atletico San Luis,U.N.A.M. - Pumas,3,2,home
864175,Ó. Mejía,2022-08-20 00:00:00,Estadio Victoria de Aguascalientes,2022,Apertura,10,Necaxa,Guadalajara Chivas,0,4,away
864177,G. Pacheco,2022-08-20 22:00:00,Estadio La Corregidora,2022,Apertura,10,Club Queretaro,Club Tijuana,2,0,home
864179,F. Guerrero,2022-08-21 00:05:00,Estadio BBVA,2022,Apertura,10,Monterrey,Tigres UANL,0,0,draw
864178,C. Ramos,2022-08-21 00:05:00,Estadio Jalisco,2022,Apertura,10,Atlas,Puebla,1,1,draw
864180,L. Santander,2022-08-21 02:05:00,Estadio Azteca,2022,Apertura,10,Club America,Cruz Azul,7,0,home
864176,D. Quintero,2022-08-21 02:05:00,Estadio Olímpico Benito Juárez,2022,Apertura,10,FC Juarez,Mazatlán,1,1,draw
864181,M. Ortíz,2022-08-21 17:00:00,Estadio Olímpico de Universitario,2022,Apertura,10,U.N.A.M. - Pumas,Santos Laguna,1,5,away
864182,D. Montaño,2022-08-21 22:00:00,Estadio Alfonso Lastras Ramírez,2022,Apertura,10,Atletico San Luis,Toluca,1,0,home
864183,I. Lopez,2022-08-22 00:05:00,Estadio Hidalgo,2022,Apertura,10,Pachuca,Leon,1,0,home
864231,L. Santander,2022-08-24 00:05:00,Estadio AKRON,2022,Apertura,16,Guadalajara Chivas,Monterrey,1,0,home
864232,V. Cáceres,2022-08-24 02:05:00,Estadio La Corregidora,2022,Apertura,16,Club Queretaro,Club America,0,1,away
864234,Ó. Mejía,2022-08-25 02:05:00,Estadio Olímpico de Universitario,2022,Apertura,16,U.N.A.M. - Pumas,Tigres UANL,1,1,draw
864235,F. Guerrero,2022-08-26 00:05:00,Estadio Hidalgo,2022,Apertura,16,Pachuca,Atlas,3,1,home
864236,A. Escobedo,2022-08-26 02:05:00,Estadio Caliente,2022,Apertura,16,Club Tijuana,Santos Laguna,0,2,away
864184,M. Ortíz,2022-08-27 00:00:00,Estadio Cuauhtémoc,2022,Apertura,11,Puebla,FC Juarez,2,2,draw
864185,E. Miranda,2022-08-27 02:05:00,Estadio de Mazatlán,2022,Apertura,11,Mazatlán,Club America,1,3,away
864186,D. Quintero,2022-08-27 22:00:00,Estadio Azteca,2022,Apertura,11,Cruz Azul,Club Queretaro,2,1,home
864187,F. Hernández,2022-08-28 00:05:00,Estadio Universitario de Nuevo León,2022,Apertura,11,Tigres UANL,Necaxa,0,0,draw
864188,D. Montaño,2022-08-28 02:05:00,Estadio AKRON,2022,Apertura,11,Guadalajara Chivas,U.N.A.M. - Pumas,3,1,home
864189,G. Pacheco,2022-08-28 17:00:00,Estadio Nemesio Díez,2022,Apertura,11,Toluca,Pachuca,1,4,away
864191,Ó. Macías,2022-08-29 00:00:00,Estadio León,2022,Apertura,11,Leon,Atlas,4,2,home
864190,F. Guerrero,2022-08-29 00:05:00,Estadio Nuevo Corona,2022,Apertura,11,Santos Laguna,Atletico San Luis,4,1,home
864192,B. González,2022-08-29 02:05:00,Estadio Caliente,2022,Apertura,11,Club Tijuana,Monterrey,0,3,away
864193,D. Quintero,2022-09-02 00:00:00,Estadio Alfonso Lastras Ramírez,2022,Apertura,12,Atletico San Luis,Club Tijuana,0,0,draw
864194,I. Lopez,2022-09-02 02:05:00,Estadio La Corregidora,2022,Apertura,12,Club Queretaro,Puebla,1,1,draw
864195,M. Ortíz,2022-09-03 00:00:00,Estadio Victoria de Aguascalientes,2022,Apertura,12,Necaxa,Leon,3,2,home
864196,B. González,2022-09-03 02:05:00,Estadio Olímpico Benito Juárez,2022,Apertura,12,FC Juarez,Cruz Azul,2,2,draw
864197,F. Hernández,2022-09-03 22:05:00,Estadio Hidalgo,2022,Apertura,12,Pachuca,Santos Laguna,2,0,home
864198,V. Cáceres,2022-09-04 00:05:00,Estadio BBVA,2022,Apertura,12,Monterrey,Mazatlán,0,0,draw
864199,L. Santander,2022-09-04 00:05:00,Estadio Jalisco,2022,Apertura,12,Atlas,U.N.A.M. - Pumas,0,0,draw
864200,D. Montaño,2022-09-04 02:05:00,Estadio Azteca,2022,Apertura,12,Club America,Tigres UANL,2,1,home
864201,C. Ramos,2022-09-04 22:00:00,Estadio Nemesio Díez,2022,Apertura,12,Toluca,Guadalajara Chivas,0,0,draw
864202,J. Camacho,2022-09-07 00:00:00,Estadio León,2022,Apertura,13,Leon,FC Juarez,1,0,home
864203,D. Quintero,2022-09-07 00:05:00,Estadio Nuevo Corona,2022,Apertura,13,Santos Laguna,Necaxa,3,1,home
864204,Ó. Mejía,2022-09-07 02:05:00,Estadio BBVA,2022,Apertura,13,Monterrey,Cruz Azul,3,2,home
864205,V. Cáceres,2022-09-07 02:05:00,Estadio Azteca,2022,Apertura,13,Club America,Atletico San Luis,3,0,home
864207,M. Ortíz,2022-09-08 00:00:00,Estadio Universitario de Nuevo León,2022,Apertura,13,Tigres UANL,Toluca,3,1,home
864206,A. Escobedo,2022-09-08 00:00:00,Estadio Cuauhtémoc,2022,Apertura,13,Puebla,Pachuca,2,2,draw
864210,F. Hernández,2022-09-08 02:00:00,Estadio de Mazatlán,2022,Apertura,13,Mazatlán,Atlas,1,0,home
864209,G. Pacheco,2022-09-08 02:05:00,Estadio Caliente,2022,Apertura,13,Club Tijuana,Guadalajara Chivas,1,2,away
864208,C. Ramos,2022-09-08 02:05:00,Estadio Olímpico de Universitario,2022,Apertura,13,U.N.A.M. - Pumas,Club Queretaro,4,1,home
864212,D. Montaño,2022-09-10 02:05:00,Estadio Olímpico Benito Juárez,2022,Apertura,14,FC Juarez,Monterrey,0,1,away
864213,L. Santander,2022-09-10 22:00:00,Estadio La Corregidora,2022,Apertura,14,Club Queretaro,Santos Laguna,3,3,draw
864211,F. Guerrero,2022-09-11 00:00:00,Estadio Victoria de Aguascalientes,2022,Apertura,14,Necaxa,Club America,1,2,away
864214,A. Escobedo,2022-09-11 00:05:00,Estadio Universitario de Nuevo León,2022,Apertura,14,Tigres UANL,Leon,0,1,away
864216,D. Quintero,2022-09-11 02:05:00,Estadio AKRON,2022,Apertura,14,Guadalajara Chivas,Puebla,1,0,home
864215,F. Hernández,2022-09-11 02:05:00,Estadio Nemesio Díez,2022,Apertura,14,Toluca,U.N.A.M. - Pumas,2,2,draw
