id,date,stadium,season,tournament,round,home_team,away_team,home_goals,away_goals
120457,2018-11-04 18:00:00+00:00,Estadio Olimpico Universitario,2018,Apertura,15,U.N.A.M. - Pumas,Cruz Azul,1,2
120458,2018-11-04 22:00:00+00:00,Estadio La Corregidora,2018,Apertura,15,Club Queretaro,Santos Laguna,2,1
120459,2018-11-05 00:00:00+00:00,Estadio Jalisco,2018,Apertura,15,Atlas,Leon,0,0
120460,2018-11-10 01:00:00+00:00,Estadio Luis Pirata Fuente,2018,Apertura,16,Veracruz,Club Queretaro,2,2
120461,2018-11-10 03:00:00+00:00,Estadio Jalisco,2018,Apertura,16,Atlas,Pachuca,0,0
120462,2018-11-10 23:00:00+00:00,Estadio Azul,2018,Apertura,16,Cruz Azul,Lobos Buap,2,1
120464,2018-11-11 01:00:00+00:00,Estadio Universitario (UANL),2018,Apertura,16,Tigres UANL,Puebla,6,1
120463,2018-11-11 01:00:00+00:00,Estadio Leon,2018,Apertura,16,Leon,Guadalajara Chivas,0,1
120466,2018-11-11 03:00:00+00:00,Estadio Caliente,2018,Apertura,16,Club Tijuana,Monarcas,2,3
120465,2018-11-11 03:00:00+00:00,Estadio Victoria,2018,Apertura,16,Necaxa,Monterrey,1,1
120467,2018-11-11 18:00:00+00:00,Estadio Nemesio Diez,2018,Apertura,16,Toluca,U.N.A.M. - Pumas,0,1
120468,2018-11-12 00:00:00+00:00,Estadio TSM Corona,2018,Apertura,16,Santos Laguna,Club America,1,1
120469,2018-11-24 01:00:00+00:00,Estadio Jose Maria Morelos y Pavon,2018,Apertura,17,Monarcas,Cruz Azul,0,2
120470,2018-11-24 03:00:00+00:00,Estadio Cuauhtemoc,2018,Apertura,17,Puebla,Club Tijuana,0,0
120471,2018-11-24 23:00:00+00:00,Estadio La Corregidora,2018,Apertura,17,Club Queretaro,Necaxa,1,0
120473,2018-11-25 01:00:00+00:00,Estadio Azteca,2018,Apertura,17,Club America,Veracruz,4,1
120472,2018-11-25 01:00:00+00:00,Estadio Miguel Hidalgo,2018,Apertura,17,Pachuca,Leon,1,1
120474,2018-11-25 03:00:00+00:00,Estadio Akron,2018,Apertura,17,Guadalajara Chivas,Tigres UANL,0,1
120475,2018-11-25 03:06:00+00:00,Estadio BBVA Bancomer,2018,Apertura,17,Monterrey,Atlas,3,1
120476,2018-11-25 18:00:00+00:00,Estadio Olimpico Universitario,2018,Apertura,17,U.N.A.M. - Pumas,Santos Laguna,1,1
120477,2018-11-25 22:00:00+00:00,Estadio Universitario BUAP,2018,Apertura,17,Lobos Buap,Toluca,2,0
120164,2018-11-29 01:00:00+00:00,Estadio La Corregidora,2018,Apertura,Quarter-finals,Club Queretaro,Cruz Azul,0,2
120166,2018-11-29 03:06:00+00:00,Estadio BBVA Bancomer,2018,Apertura,Quarter-finals,Monterrey,Santos Laguna,1,0
120168,2018-11-30 01:00:00+00:00,Estadio Nemesio Diez,2018,Apertura,Quarter-finals,Toluca,Club America,2,2
120170,2018-11-30 03:00:00+00:00,Estadio Universitario (UANL),2018,Apertura,Quarter-finals,Tigres UANL,U.N.A.M. - Pumas,2,1
120165,2018-12-02 01:00:00+00:00,Estadio Azteca,2018,Apertura,Quarter-finals,Cruz Azul,Club Queretaro,1,1
120167,2018-12-02 03:00:00+00:00,Estadio TSM Corona,2018,Apertura,Quarter-finals,Santos Laguna,Monterrey,0,2
120171,2018-12-02 18:00:00+00:00,Estadio Olimpico Universitario,2018,Apertura,Quarter-finals,U.N.A.M. - Pumas,Tigres UANL,3,1
120169,2018-12-03 00:30:00+00:00,Estadio Azteca,2018,Apertura,Quarter-finals,Club America,Toluca,3,2
120160,2018-12-06 02:06:00+00:00,Estadio BBVA Bancomer,2018,Apertura,Semi-finals,Monterrey,Cruz Azul,1,0
120162,2018-12-07 02:45:00+00:00,Estadio Olimpico Universitario,2018,Apertura,Semi-finals,U.N.A.M. - Pumas,Club America,1,1
120161,2018-12-09 01:00:00+00:00,Estadio Azteca,2018,Apertura,Semi-finals,Cruz Azul,Monterrey,1,0
120163,2018-12-10 00:45:00+00:00,Estadio Azteca,2018,Apertura,Semi-finals,Club America,U.N.A.M. - Pumas,6,1
120158,2018-12-14 02:30:00+00:00,Estadio Azteca,2018,Apertura,Finals,Club America,Cruz Azul,0,0
120159,2018-12-17 00:30:00+00:00,Estadio Azteca,2018,Apertura,Finals,Cruz Azul,Club America,0,2
120172,2019-01-05 01:00:00+00:00,Estadio Jose Maria Morelos y Pavon,2018,Clausura,1,Monarcas,Toluca,1,3
120173,2019-01-05 03:00:00+00:00,Estadio Cuauhtemoc,2018,Clausura,1,Puebla,Cruz Azul,1,1
120174,2019-01-05 23:00:00+00:00,Estadio La Corregidora,2018,Clausura,1,Club Queretaro,Atlas,1,2
120175,2019-01-05 23:06:00+00:00,Estadio BBVA Bancomer,2018,Clausura,1,Monterrey,Pachuca,5,0
120176,2019-01-06 01:06:00+00:00,Estadio Leon,2018,Clausura,1,Leon,Tigres UANL,2,2
120177,2019-01-06 03:00:00+00:00,Estadio Akron,2018,Clausura,1,Guadalajara Chivas,Club Tijuana,2,0
120178,2019-01-06 18:00:00+00:00,Estadio Olimpico Universitario,2018,Clausura,1,U.N.A.M. - Pumas,Veracruz,0,0
120179,2019-01-06 22:00:00+00:00,Estadio Universitario BUAP,2018,Clausura,1,Lobos Buap,Santos Laguna,2,0
120181,2019-01-12 01:00:00+00:00,Estadio Luis Pirata Fuente,2018,Clausura,2,Veracruz,Lobos Buap,0,1
120182,2019-01-12 03:00:00+00:00,Estadio Jalisco,2018,Clausura,2,Atlas,Club America,1,2
120183,2019-01-12 23:00:00+00:00,Estadio BBVA Bancomer,2018,Clausura,2,Monterrey,Leon,2,2
120184,2019-01-13 01:00:00+00:00,Estadio Azul,2018,Clausura,2,Cruz Azul,Guadalajara Chivas,0,1
120185,2019-01-13 01:06:00+00:00,Estadio Miguel Hidalgo,2018,Clausura,2,Pachuca,Club Queretaro,3,0
120187,2019-01-13 03:00:00+00:00,Estadio Caliente,2018,Clausura,2,Club Tijuana,Tigres UANL,0,3
120186,2019-01-13 03:00:00+00:00,Estadio Victoria,2018,Clausura,2,Necaxa,U.N.A.M. - Pumas,2,1
120188,2019-01-13 18:00:00+00:00,Estadio Nemesio Diez,2018,Clausura,2,Toluca,Puebla,2,0
120189,2019-01-14 00:00:00+00:00,Estadio TSM Corona,2018,Clausura,2,Santos Laguna,Monarcas,1,0
120190,2019-01-19 03:00:00+00:00,Estadio Jose Maria Morelos y Pavon,2018,Clausura,3,Monarcas,Veracruz,2,0
120191,2019-01-19 03:00:00+00:00,Estadio Cuauhtemoc,2018,Clausura,3,Puebla,Santos Laguna,1,1
120192,2019-01-19 23:00:00+00:00,Estadio La Corregidora,2018,Clausura,3,Club Queretaro,Monterrey,1,2
120193,2019-01-20 01:00:00+00:00,Estadio Azteca,2018,Clausura,3,Club America,Pachuca,3,0
120194,2019-01-20 03:00:00+00:00,Estadio Universitario (UANL),2018,Clausura,3,Tigres UANL,Cruz Azul,0,1
120195,2019-01-20 18:00:00+00:00,Estadio Olimpico Universitario,2018,Clausura,3,U.N.A.M. - Pumas,Atlas,2,2
120196,2019-01-20 22:00:00+00:00,Estadio Universitario BUAP,2018,Clausura,3,Lobos Buap,Necaxa,2,3
120197,2019-01-21 00:30:00+00:00,Estadio Akron,2018,Clausura,3,Guadalajara Chivas,Toluca,1,0
120198,2019-01-21 02:15:00+00:00,Estadio Leon,2018,Clausura,3,Leon,Club Tijuana,0,1
120199,2019-01-26 01:00:00+00:00,Estadio Luis Pirata Fuente,2018,Clausura,4,Veracruz,Puebla,0,1
120200,2019-01-26 03:00:00+00:00,Estadio Jalisco,2018,Clausura,4,Atlas,Lobos Buap,3,1
120202,2019-01-26 23:00:00+00:00,Estadio BBVA Bancomer,2018,Clausura,4,Monterrey,Club America,3,2
120201,2019-01-26 23:00:00+00:00,Estadio Azteca,2018,Clausura,4,Cruz Azul,Club Tijuana,1,0
120203,2019-01-27 01:00:00+00:00,Estadio Miguel Hidalgo,2018,Clausura,4,Pachuca,U.N.A.M. - Pumas,1,0
120204,2019-01-27 03:00:00+00:00,Estadio Victoria,2018,Clausura,4,Necaxa,Monarcas,0,0
120205,2019-01-27 18:00:00+00:00,Estadio Nemesio Diez,2018,Clausura,4,Toluca,Tigres UANL,0,1
120206,2019-01-27 22:00:00+00:00,Estadio La Corregidora,2018,Clausura,4,Club Queretaro,Leon,0,4
120207,2019-01-28 00:06:00+00:00,Estadio TSM Corona,2018,Clausura,4,Santos Laguna,Guadalajara Chivas,1,0
120208,2019-02-02 01:00:00+00:00,Estadio Jose Maria Morelos y Pavon,2018,Clausura,5,Monarcas,Atlas,1,2
120209,2019-02-02 03:00:00+00:00,Estadio Cuauhtemoc,2018,Clausura,5,Puebla,Necaxa,1,4
120210,2019-02-02 23:00:00+00:00,Estadio Azteca,2018,Clausura,5,Club America,Club Queretaro,2,0
120212,2019-02-03 01:00:00+00:00,Estadio Universitario (UANL),2018,Clausura,5,Tigres UANL,Santos Laguna,2,1
120211,2019-02-03 01:00:00+00:00,Estadio Leon,2018,Clausura,5,Leon,Cruz Azul,2,0
120213,2019-02-03 03:06:00+00:00,Estadio Caliente,2018,Clausura,5,Club Tijuana,Toluca,2,0
120214,2019-02-03 18:00:00+00:00,Estadio Olimpico Universitario,2018,Clausura,5,U.N.A.M. - Pumas,Monterrey,1,1
120215,2019-02-03 22:00:00+00:00,Estadio Universitario BUAP,2018,Clausura,5,Lobos Buap,Pachuca,1,1
120216,2019-02-05 00:36:00+00:00,Estadio Akron,2018,Clausura,5,Guadalajara Chivas,Veracruz,0,0
120217,2019-02-09 01:00:00+00:00,Estadio Luis Pirata Fuente,2018,Clausura,6,Veracruz,Tigres UANL,0,2
120218,2019-02-09 03:00:00+00:00,Estadio Jalisco,2018,Clausura,6,Atlas,Puebla,1,2
120220,2019-02-09 23:00:00+00:00,Estadio BBVA Bancomer,2018,Clausura,6,Monterrey,Lobos Buap,4,0
120219,2019-02-09 23:00:00+00:00,Estadio La Corregidora,2018,Clausura,6,Club Queretaro,U.N.A.M. - Pumas,0,2
120221,2019-02-10 01:00:00+00:00,Estadio Azteca,2018,Clausura,6,Club America,Leon,0,3
120222,2019-02-10 01:00:00+00:00,Estadio Miguel Hidalgo,2018,Clausura,6,Pachuca,Monarcas,2,0
120223,2019-02-10 03:00:00+00:00,Estadio Victoria,2018,Clausura,6,Necaxa,Guadalajara Chivas,3,3
120224,2019-02-10 18:00:00+00:00,Estadio Nemesio Diez,2018,Clausura,6,Toluca,Cruz Azul,1,1
120225,2019-02-11 00:00:00+00:00,Estadio TSM Corona,2018,Clausura,6,Santos Laguna,Club Tijuana,1,1
120226,2019-02-16 01:00:00+00:00,Estadio Jose Maria Morelos y Pavon,2018,Clausura,7,Monarcas,Monterrey,2,3
120227,2019-02-16 03:00:00+00:00,Estadio Cuauhtemoc,2018,Clausura,7,Puebla,Pachuca,1,1
120228,2019-02-16 03:06:00+00:00,Estadio Caliente,2018,Clausura,7,Club Tijuana,Veracruz,3,0
120229,2019-02-16 23:00:00+00:00,Estadio Azteca,2018,Clausura,7,Cruz Azul,Santos Laguna,1,2
120230,2019-02-17 01:00:00+00:00,Estadio Universitario (UANL),2018,Clausura,7,Tigres UANL,Necaxa,3,2
120231,2019-02-17 01:00:00+00:00,Estadio Leon,2018,Clausura,7,Leon,Toluca,3,0
120232,2019-02-17 03:00:00+00:00,Estadio Akron,2018,Clausura,7,Guadalajara Chivas,Atlas,3,0
120233,2019-02-17 18:00:00+00:00,Estadio Olimpico Universitario,2018,Clausura,7,U.N.A.M. - Pumas,Club America,1,0
120234,2019-02-17 22:00:00+00:00,Estadio Universitario BUAP,2018,Clausura,7,Lobos Buap,Club Queretaro,3,1
120236,2019-02-23 03:00:00+00:00,Estadio Jalisco,2018,Clausura,8,Atlas,Tigres UANL,0,1
120235,2019-02-23 03:00:00+00:00,Estadio Luis Pirata Fuente,2018,Clausura,8,Veracruz,Cruz Azul,1,1
120237,2019-02-23 23:00:00+00:00,Estadio La Corregidora,2018,Clausura,8,Club Queretaro,Monarcas,3,0
120238,2019-02-24 01:00:00+00:00,Estadio BBVA Bancomer,2018,Clausura,8,Monterrey,Puebla,0,0
120239,2019-02-24 01:00:00+00:00,Estadio Azteca,2018,Clausura,8,Club America,Lobos Buap,3,0
120240,2019-02-24 03:00:00+00:00,Estadio Victoria,2018,Clausura,8,Necaxa,Club Tijuana,1,2
